topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Argentinien,0.18929473499742086,0.19513461034050736,-0.7683054622588275,0.5835353892667888,2.0
Australien,-0.03728918702732966,0.5855492614058248,0.5522496645133981,0.546234222507241,5.0
China,0.29925123709719575,0.2948142381824408,0.06518296809532702,0.7678810483993689,6.0
Deutschland,-0.22892467056654792,0.3915732586094083,-0.42686723667634724,0.7424595526767321,4.0
Frankreich,0.5878316504274261,0.8755136662507854,0.2934953685616449,0.28248260924109064,2.0
Irland,0.8951140046528595,1.0,0.19829030470783326,1.0,1.0
Israel,-0.03809396602494978,0.7718017674319367,-0.5851553519297703,1.139167395449755,14.0
Kanada,0.2827377737668318,0.4710623646579456,0.07330265790733877,0.38213764565142994,4.0
Kolumbien,-0.6882470063043579,1.0,-0.129290657533614,1.0,1.0
Niederlande,0.18803647479651114,1.0,-0.1834106532303837,1.0,1.0
PuertoRico,-2.22838527538602,1.0,1.5109427219076035,1.0,1.0
Russland,0.02204278670230108,0.4875000144060894,0.017724264602146905,1.1075775315432137,8.0
Südafrika,-1.210158582438271,1.0,-0.799034123330525,1.0,1.0
UK,-0.07336937081193819,0.9113903665766583,-0.6089380545680771,0.9132034682037202,20.0
UN,-1.203909139904738,1.0,-0.950894935245426,1.0,1.0
USA,-0.09857496671515253,0.9515622472414375,0.011250968819855984,0.9040850839769754,526.0
Ukraine,-1.6027159149126313,1.3702663501770445,-0.6087292153942198,2.0919345419968,2.0
Ungarn,0.12110884282230085,1.0513786830437988,0.0896322155440429,0.9991629337094325,62.0
Vatikan,0.14173338107538855,1.3187179175366515,0.014083198249199866,1.3442414018261297,6.0
unknown,0.03162845862631328,0.9424549884013164,0.027214140775656277,0.9568406114274212,1757.0
