index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
0,https://heavy.com/sports/ufc/dana-white-song-yadong-umar-nurmagomedov/,0,heavy.com,Dana White Reacts to Song Yadong KOing Umar Nurmagomedov,"UFC president Dana White shared his reaction to Song Yadong knocking out Umar Nurmagomedov in the main event of UFC Shanghai.Song was a massive underdog against Nurmagomedov, but he pulled off one of the biggest upsets of the year in combat sports when he sto…",https://s.yimg.com/lo/mysterio/api/a2b4c0dcfde4de72fe7703ad6fb33478fe613d3c5af4fcaf96a24ee705e4f8a0/lightyear_networkapi/resizefill_w1200%3Bquality_80%3Bformat_webp/https%3A%2F%2Fmedia.zenfs.com%2Fen%2Fheavy_214%2Fdca989dffa9dd744368691a78413da03.jpg,2026-09-02T05:06:16Z,,"UFC president Dana White shared his reaction to Song Yadong knocking out Umar Nurmagomedov in the main event of UFC Shanghai.
Song was a massive underdog against Nurmagomedov, but he pulled off one … [+1876 chars]",,en,'Dana White'
https://www.mmamania.com/ufc-news/469092/valentina-shevchenko-pulls-out-of-ufc-332-leaving-salt-lake-city-without-a-championship-fight,https://www.mmamania.com/ufc-news/469092/valentina-shevchenko-pulls-out-of-ufc-332-leaving-salt-lake-city-without-a-championship-fight,0,www.mmamania.com,"Valentina Shevchenko pulls out of UFC 332, leaving Salt Lake City without a championship fight","UFC 332 is now a month away and does not have a main event or a co-main event. The event, set for October 3rd, 2026 at the Delta Center in Salt Lake City, Utah, has been listed on the UFC’s website as TBD vs. TBD for weeks now. Reports that the UFC was strugg…",https://s.yimg.com/lo/mysterio/api/906eb069f5d2671ef02ea7e657f053fbdd596656447d054b76525794545be07f/lightyear_networkapi/resizefill_w1200%3Bquality_80%3Bformat_webp/https%3A%2F%2Fmedia.zenfs.com%2Fen%2Fsb_nation_articles_115%2Fb81b27bc8cbb8e7d838ae47d52fe96a1.jpg,2026-09-02T11:53:26Z,,"UFC 332 is now a month away and does not have a main event or a co-main event.
The event, set for October 3rd, 2026 at the Delta Center in Salt Lake City, Utah, has been listed on the UFC's website … [+1749 chars]",,en,'Sean Strickland'
