keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Abby Phillip',0.3089843743612574,0.9971642687118376,-0.042706785019519834,1.10197154240141,15.0
'Adam Mockler',-0.10593976552745675,0.6362712734789959,-0.378771920124344,1.0056920818608808,26.0
'Alexander Yui',0.10049605156919175,0.5508451796311783,-0.3704239019280882,0.6945604331690143,4.0
'Alexandria Ocasio-Cortez',-0.13436624370262715,1.0,-0.921123642180802,1.0,1.0
'Ali Khamenei',-0.35786464442398574,1.0,-0.006862178660330238,1.0,1.0
'Andrew Mountbatten Windsor',0.21696020028802515,1.3890116519430733,-0.2688178928633337,0.8845117599665814,4.0
'Andrew Mountbatten-Windsor',-0.9644083444274768,1.0,-1.361535010274714,1.0,1.0
'Andy Burnham',-0.03507971348762592,0.9628706991093698,-0.010003790236568335,0.9436214772722347,82.0
'Angus Cloud',-0.01971032001640527,1.6232670255345387,0.8331178162732449,0.11094336481114468,2.0
'Anne Hathaway',-0.04879068746363706,1.0260937369805159,0.11148250824496178,1.0290897325969435,20.0
'Anthony ',-0.2988330223999883,0.8984945494818692,-0.09595311334785081,0.782425328496885,8.0
'Anthony Fauci',0.7052558029145659,1.0,-0.11707680609302917,1.0,1.0
'Aubrey Plaza',-0.6739851422324531,1.0,-1.916456357290792,1.0,1.0
'Bad Bunny',-1.8988841881454739,1.0,1.4942047624511048,1.0,1.0
'Barack Obama',-0.1795715353560134,0.0733345840142954,-0.847294062251905,0.9444448796368545,2.0
'Bari Weiss',-0.07428664686345815,0.8185127812179054,-0.26219439174683545,0.994062953981405,65.0
'Belal Muhammad',0.2125,1.0,0.4375,1.0,1.0
'Ben Shapiro',-0.20132314738925403,0.5046169920855572,-0.2935096969259378,0.672386945054129,8.0
'Benjamin Netanyahu',0.16685733369530711,0.6440714284415258,-0.5863341349891665,1.4359254947801878,7.0
'Bernie Sanders',-0.07312993152357788,1.0,0.15418184800274112,1.0,1.0
'Bill Cassidy',0.23213774763852252,0.9476021607024914,0.36031116328783674,0.9354148327832531,20.0
'Bill Gates',-0.09561044985124029,0.05643275132893226,-0.3317927262188583,1.083150387727049,2.0
'Bill Maher',-0.027226540066132225,0.8709752886486279,0.07170579899434883,0.7840329314761881,77.0
'Bill Pulte',-0.1222168501257544,0.6270980546225813,-0.4923351810802058,0.995987675383588,52.0
'Brad Pitt',0.07110317841699214,1.0,-0.6974711518603033,1.0,1.0
'Brendan Carr',-0.33314182452132884,1.0080543946572376,-0.33042814306051793,1.0216032618459363,29.0
'Britney Spears',0.10733831177090246,1.0,-1.0125180715870368,1.0,1.0
'Bruce Springsteen',0.3346762140106829,1.0,-0.38732406049492574,1.0,1.0
'Callum Turner',-0.2418038529223146,0.3329112957047408,-0.3979170968847757,0.00973412797185249,2.0
'Camilla',0.8121438613785661,0.2922944997154512,-0.25584201617300395,0.3180417605047606,2.0
'Candace Owens',-0.43872184175946893,1.0,-0.699058813871345,1.0,1.0
'Charles III',0.07250116502738255,0.7692023435623425,-0.4991698685092178,2.0080361080425044,2.0
'Charles Kushner',-0.08764574311714457,0.6906734202581195,-0.07798276772877463,1.6483138161052728,10.0
'Charlie Kirk',-0.25671416552660303,0.9245584892652365,-0.12445723143079661,0.9016474610898892,48.0
'Charlize Theron',-1.2684378841868782,1.0,-0.8622879026927143,1.0,1.0
'Chelsea Handler',-0.19407209077371496,0.16555482953417816,-1.3288478771998886,0.1539662418078656,2.0
'Chris Murphy',0.36787515723322883,1.4241984252499345,0.5979746595476282,0.8943167178920933,19.0
'Chris Van Hollen',0.2718946150373505,1.2047859373752552,0.15514572627629591,1.015819895802233,24.0
'Chris Wright',-0.5745494137882251,1.0,-1.8136018400263647,1.0,1.0
'Christopher Nolan',-2.0283613812547463,1.0,0.8055966570104666,1.0,1.0
'Chuck Schumer',-0.5137540542813105,1.0,-1.595480273901619,1.0,1.0
'Craig Melvin',-0.26224498303418475,0.7746760218887845,-0.21624354019532888,0.7544369140828662,16.0
'Dana White',0.7361845810582124,1.253589618873449,-0.11161578958557518,0.5448580015549458,3.0
'Daniel Craig',1.3991437105194304,1.0,0.39405535156515353,1.0,1.0
'David Letterman',-0.5928024715370495,0.8730120792034249,0.3254563588382413,0.5835382631228584,29.0
'David Lowery',0.18653408678693756,0.8375960029131633,0.6589338057358142,1.02131364513448,5.0
'Diane Keaton',0.4929366288238405,0.6859638022739925,0.47612556777879245,0.8143165358453391,9.0
'Don Bacon',-0.22282426518991463,0.7825083518276849,0.033122800275077,0.8344194173860763,16.0
'Donald Trump',0.04491543418059789,1.003896893299026,0.00954553663579305,0.9440278940490746,198.0
