domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
mmajunkie.usatoday.com,0.12788436899531336,0.22848260890379457,0.39147073692391815,0.2118275595584392,119.0
radaronline.com,0.00257265631433714,0.21334334551854015,0.4612708702973501,0.19209989206949363,107.0
www.bbc.com,0.05711914311179017,0.17977562979365047,0.34368305066134197,0.22552805529312064,102.0
www.mediaite.com,0.047478291235122275,0.2513288226383884,0.40244454283447467,0.227472032870956,101.0
www.mmamania.com,0.059340412023644956,0.18203812295135263,0.4305723573243654,0.20552469948950297,83.0
biztoc.com,0.03169404944957705,0.2179059036182145,0.3235787264282564,0.23672554872071114,83.0
abcnews.go.com,0.06974592549327999,0.1749536292792277,0.3658511545284032,0.24047990230562197,81.0
nypost.com,0.018614596968087226,0.1867419351775816,0.4300718582125847,0.19030538260203725,80.0
www.mmafighting.com,0.13206963060380783,0.17959441698913664,0.3833635694396243,0.17071394658762912,79.0
www.yahoo.com,0.03187547486527078,0.20790795463567047,0.3660869567884874,0.26792657362408795,70.0
www.cbsnews.com,0.1087327206523635,0.15401674692409817,0.3318990163275878,0.2161103868731677,70.0
dailycaller.com,0.04707947465793787,0.21403228247410866,0.3191278443578227,0.198322365147526,66.0
www.thedailybeast.com,-0.026007732020101808,0.1892983639387626,0.36676503063872856,0.2498194917572045,64.0
newrepublic.com,0.09266698420991672,0.1726442775632963,0.49372304502899356,0.15422649606708255,56.0
www.tmz.com,0.0012819997226885052,0.23970940923645942,0.36310426145566455,0.2400345902023419,56.0
www.foxnews.com,0.055678753791357095,0.19554646778286583,0.33811467786881005,0.20359164390703194,55.0
deadline.com,0.0019711638224034923,0.12485357359351122,0.3441339355471587,0.18547316747885967,55.0
freerepublic.com,0.031613053150553155,0.18073537067533255,0.3055073172198172,0.2005231011200093,50.0
www.breitbart.com,0.04966959630316773,0.1707390942771612,0.3424407579193294,0.23968792941867378,50.0
www.ibtimes.com,0.00817517068154823,0.16122164981768933,0.4095409498853376,0.1817950812477312,49.0
www.businessinsider.com,0.10237470960875217,0.14698186365869062,0.3491462497313561,0.19869262911540078,47.0
www.usmagazine.com,0.027335982064037066,0.2078756117808151,0.36772710558118993,0.22093039609040255,46.0
www.npr.org,0.08499663299663299,0.16660886401832725,0.3771170835337502,0.1765651403696135,45.0
www.aljazeera.com,0.07614729613205223,0.19392372202005673,0.36797269295744905,0.22086952802317372,41.0
www.forbes.com,0.07068683977656103,0.13827769362622835,0.39274638495457315,0.19604302795507755,41.0
crooksandliars.com,0.0093057625349292,0.1790892999986587,0.36284329680163013,0.23589313949768573,37.0
www.rollingstone.com,0.009582675207675211,0.20629428440742203,0.43673778486278486,0.21060719122215368,37.0
www.thewrap.com,0.09129153356426083,0.16455871478296272,0.4103891893664621,0.1552983443457133,37.0
economictimes.indiatimes.com,0.03675843807066751,0.16418467320197785,0.3187923316862711,0.20934040282081812,35.0
consent.yahoo.com,-0.04076386312100598,0.12964415620659686,0.3847884456813028,0.1279294619458807,35.0
www.snopes.com,0.01176188973063973,0.17934338636627697,0.26968772546897546,0.21390613879812392,32.0
sports.yahoo.com,0.07859918756012506,0.1421293518682159,0.3660274921837422,0.140142505229108,32.0
www.memeorandum.com,0.11670516549422799,0.12188501534752061,0.3714231601731602,0.1462383419778292,32.0
www.justjared.com,0.0846255438584984,0.1736621372427703,0.29950383707201894,0.23558893628416133,30.0
www.salon.com,0.0947138832021837,0.2055995355695792,0.44455563183395697,0.2208325750048039,29.0
www.abc.net.au,0.09552108730988042,0.12891623514143827,0.4267477525667181,0.202448928897613,29.0
www.thehollywoodgossip.com,0.15699205060812202,0.13919859188876452,0.5682506184291899,0.18583418199851467,28.0
www.cbssports.com,0.12816612874305183,0.13185467302837858,0.3972107940136786,0.1914562257181141,26.0
slashdot.org,0.08495176698301697,0.13531947408888786,0.4055767843267843,0.1467586325684037,26.0
www.huffpost.com,0.045530416408987834,0.21098716503189155,0.43146829519686664,0.24678525453898117,25.0
www.sherdog.com,0.09401421478414232,0.2149011924540009,0.3607755827773944,0.21669883073708623,23.0
www.cracked.com,0.04800814825271347,0.1413019193320275,0.4297634383866268,0.17060295834368708,23.0
